	Microbiome	Metabolite	Correlation	P_value	Site
2507	Nasal_Streptococcus	(-)-Abscisic acid	0.319671965	0.003035337	Nasal
2508	Nasal_Schaalia	(-)-Abscisic acid	0.303271759	0.005043376	Nasal
44	Gut_Gemmiger	(-)-Isoborneol	-0.343356271	0.00223432	Gut
53	Gut_Gemmiger	(-)-Menthone	-0.329186137	0.003463492	Gut
98	Gut_Oscillibacter	"(+)-4,11-Eudesmadien-3-one"	0.301461696	0.007714018	Gut
99	Gut_Unclassified_Clostridiales	"(+)-4,11-Eudesmadien-3-one"	0.356538199	0.00145894	Gut
100	Gut_Unclassified_Ruminococcaceae	"(+)-4,11-Eudesmadien-3-one"	0.336821074	0.002741788	Gut
1340	Oral_Fusobacterium	"(+)-4,11-Eudesmadien-3-one"	-0.314520227	0.003372383	Oral
176	Gut_Phocaeicola	(+)-Arteannuin	0.447841632	4.43E-05	Gut
141	Gut_Anaeromassilibacillus	"(1R,7S,13S,15S)-2,15-Dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one"	0.326094958	0.003800894	Gut
142	Gut_Dysosmobacter	"(1R,7S,13S,15S)-2,15-Dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one"	0.349229718	0.001851985	Gut
143	Gut_Neglecta	"(1R,7S,13S,15S)-2,15-Dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one"	0.328408434	0.003545763	Gut
144	Gut_Hungatella	"(1R,7S,13S,15S)-2,15-Dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one"	0.32175719	0.004323659	Gut
145	Gut_Hydrogeniiclostridium	"(1R,7S,13S,15S)-2,15-Dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one"	0.345785793	0.002068319	Gut
181	Gut_Phocea	"(2E,5Z,7E)-Decatrienoylcarnitine"	-0.306719596	0.006664493	Gut
1354	Oral_Neisseria	"(2E,5Z,7E)-Decatrienoylcarnitine"	0.322786789	0.002587008	Oral
1355	Oral_Unclassified_Carnobacteriaceae	"(2E,5Z,7E)-Decatrienoylcarnitine"	-0.317940199	0.00302474	Oral
2491	Nasal_Cutibacterium	(E)-10-Hydroxy-8-decenoic acid	0.366791536	0.000599674	Nasal
1127	Gut_Faecalibacillus	"(R)-2,3-Dihydroxy-isovalerate"	0.314895631	0.005281535	Gut
1128	Gut_Lawsonibacter	"(R)-2,3-Dihydroxy-isovalerate"	0.350097271	0.001800805	Gut
1838	Skin_Halomonas	(R)-3-Methylcyclohexanone	-0.326730418	0.002418311	Skin
2113	Skin_Neisseria	(R)C(S)S-Alliin	0.30746178	0.004441565	Skin
2114	Skin_Porphyromonas	(R)C(S)S-Alliin	0.319611218	0.003041209	Skin
2115	Skin_Parvimonas	(R)C(S)S-Alliin	0.317869799	0.003213928	Skin
2538	Nasal_Unclassified_Chitinophagaceae	(S)-beta-Aminoisobutyric acid	0.322812204	0.002745266	Nasal
778	Gut_Unclassified_Cytophagales	(S)-Homostachydrine	0.313162582	0.005551373	Gut
779	Gut_Sellimonas	(S)-Homostachydrine	0.3454463	0.002090829	Gut
2064	Skin_Neisseria	(S)-Homostachydrine	-0.304566164	0.004850167	Skin
2065	Skin_Porphyromonas	(S)-Homostachydrine	-0.325726435	0.002498572	Skin
2066	Skin_Unclassified_Lachnospiraceae	(S)-Homostachydrine	-0.314002227	0.00362927	Skin
2067	Skin_Capnocytophaga	(S)-Homostachydrine	-0.350835274	0.001068123	Skin
2068	Skin_Ruminococcus	(S)-Homostachydrine	-0.349875215	0.001104833	Skin
