"variable_id","mz","rt","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database","Level"
"6.13_453.2853n",454.2925373,367.93399998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4.24_382.1460n",383.1529039,254.25100002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5.42_272.0689n",295.0581132,324.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_219.1259n",220.1331673,56.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5.94_246.0765n",493.160201,356.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5.98_453.2852n",454.2923966,358.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.10_131.0694n",132.0766561,546.28900002,"Creatine","57-00-1","HMDB0000064","C00300","HILIC_437","(M+H)+",0.127746582592181,0.99998694473373,11.284658950754,0.931698136866638,"NCE25",0.993847134839845,0.979844837820014,"Michael_Snyder_HILIC_20220424",1
"9.47_183.0174n",221.9804976,567.91399998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.50_215.0560n",238.0450874,630.2440002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12.22_612.1516n",613.1588854,733.431,"L-glutathione oxidized","27025-41-8","HMDB0003337","C00127","HILIC_182","(M+H)+",0.762502390368,0.999534980238966,19.243173711918,0.814059292497669,"NCE25",0.894963844505391,0.900880490436855,"Michael_Snyder_HILIC_20220424",1
"14.82_183.0659n",184.0733275,889.4050002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.78_376.1114n",399.100628,706.9039998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.26_147.0531n",148.0604095,615.6430002,"L-glutamic acid","56-86-0","HMDB0000148","C00025","HILIC_755","(M+H)+",1.33846825747241,0.998567828716519,3.18323999999996,0.99438636185142,"NCE25",0.685005080408175,0.840741087846072,"Michael_Snyder_HILIC_20220424",1
"8.72_125.0147n",126.0219881,522.951,"Taurine","107-35-7","HMDB0000251","C00245","HILIC_203","(M+H)+",0.0541533199793776,0.9999976539371,6.21971744128803,0.978737696085677,"NCE25",0.693154224831186,0.841260949921287,"Michael_Snyder_HILIC_20220424",1
"0.92_197.0912n",180.087923,55.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_226.1681n",227.1753053,56.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_231.0895n",186.0913435,56.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_207.0895n",230.0812877,56.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_249.1365n",204.1382552,56.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_153.0426n",307.0962319,56.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_191.0582n",146.0599992,56.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_239.1158n",222.1124641,56.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.90_215.1521n",198.1487877,114.10099998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.95_185.1411n",168.1382056,116.78299998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.95_207.1007n",190.0973904,116.78299998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.83_142.0743n",125.0709322,109.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_277.1679n",278.1752769,56.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.94_243.1834n",226.1800746,56.56999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6.28_219.1106n",220.1179582,376.71,"Pantothenic acid","79-83-4","HMDB0000210","C00864","HILIC_806","(M+H)+",1.23537442490829,0.998779825043786,1.07152200000002,0.9993623370621,"NCE25",0.520978328977827,0.760024705015385,"Michael_Snyder_HILIC_20220424",1
"6.37_154.0995n",137.0961161,382.44199998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6.45_131.0947n",132.1019543,387.26200002,"L-isoleucine","73-32-5","HMDB0000172","C00407","HILIC_317","(M+H)+",0.0360766174622995,0.99999895878268,1.64663602841296,0.99849479495356,"NCE25",0.707923034956581,0.853584955912351,"Michael_Snyder_HILIC_20220424",1
"6.37_140.0838n",123.0804654,382.11199998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6.76_283.0914n",306.0806269,405.43300002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6.37_145.0739n",128.0705705,382.11199998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7.63_138.0430n",139.0502383,457.98400002,"Urocanic acid","104-98-3","HMDB0000301","C00785","HILIC_452","(M+H)+",1.55721624508942,0.998061942516252,13.063019833285,0.909553570459805,"NCE25",0.662799557853532,0.80830365717078,"Michael_Snyder_HILIC_20220424",1
"7.81_136.0525n",119.0492062,468.37999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8.26_127.0634n",128.0705666,495.81100002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.60_146.0692n",147.0764162,576.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9.60_184.0250n",185.0322775,575.72299998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.78_261.8805n",284.8696202,646.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.99_304.0905n",327.079692,659.4520002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.27_126.0318n",127.038951,676.3210002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.51_213.0637n",168.0655447,690.3100002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11.70_321.0695n",322.0767261,702.0979998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
